ID,Module,Category,Type,Text,Options
M1_Q01,M1,Decision Style,single_choice,"Khi cần đưa ra quyết định quan trọng, bạn thường:","A. Dựa vào trực giác và kinh nghiệm | B. Tìm hiểu SÂU một vài nguồn tin đáng tin | C. Liệt kê ưu/nhược điểm, phân tích diện rộng | D. Hỏi ý kiến nhiều người xung quanh"
M1_Q06,M1,Decision Style,single_choice,"Ý kiến của ai ẢNH HƯỞNG NHIỀU NHẤT đến quyết định của bạn?","A. Chính bản thân tôi - tôi là người quyết định cuối cùng | B. Gia đình/người thân | C. Mentor/expert trong lĩnh vực | D. Bạn bè/Đồng nghiệp"
M1_Q09,M1,Motivation,single_choice,"Điều gì THÚC ĐẨY bạn MẠNH NHẤT trong cuộc sống?","A. ⭐ Ảnh hưởng, được nhìn nhận, có tiếng nói | B. 💰 Tài chính, an toàn, ổn định | C. 🦅 Tự do, không bị ràng buộc | D. ❤️ Kết nối, được yêu thương | E. 🎯 Giỏi giang, thành thạo, master | F. 🌟 Ý nghĩa, sống có mục đích | G. 💚 Tâm thương, giúp đỡ, chữa lành"
M1_Q13,M1,Fear,single_choice,"Điều gì bạn SỢ NHẤT hoặc muốn TRÁNH NHẤT?","A. 🔒 Bị mắc kẹt, mất tự do | B. 💔 Bị bỏ rơi, mất kết nối | C. 📉 Tầm thường, không giỏi | D. 💸 Nghèo, mất an toàn | E. 🌑 Sống vô nghĩa | F. 🤕 Gây tổn thương cho người khác | G. 😶 Mờ nhạt, không có ảnh hưởng"
M2_Q01,M2,Declared Priority,ranking,"Sắp xếp 7 yếu tố sau theo độ QUAN TRỌNG với bạn (1 = quan trọng nhất):","financial. 💰 Tài chính | time. ⏰ Thời gian | health. 💪 Sức khỏe | relationships. ❤️ Quan hệ | skills. 🎯 Kỹ năng | reputation. ⭐ Danh tiếng | meaning. 🌟 Ý nghĩa"
M2_Q10,M2,Behavioral Recall,single_choice,"Khi quá bận, hoạt động nào THƯỜNG BỊ CẮT ĐẦU TIÊN?","A. Giải trí, nghỉ ngơi | B. Tập luyện, ăn uống healthy | C. Gặp gỡ bạn bè, gia đình | D. Thời gian học hỏi"
M2_Q11,M2,Behavioral Recall,single_choice,"Hoạt động nào bạn BẢO VỆ NHẤT, hiếm khi cho phép bị gián đoạn?","A. Giờ làm việc kiếm tiền | B. Giờ cho gia đình/con cái | C. Thời gian học/nghiên cứu | D. Giờ tập luyện/ngủ | E. Thời gian riêng tư (me-time)"
M2_Q09_Financial,M2,Time Allocation,scale,"Đánh giá mức độ đầu tư THỜI GIAN thực tế cho: CÔNG VIỆC KIẾM TIỀN (1=Rất ít, 10=Rất nhiều)",""
M2_Q09_Health,M2,Time Allocation,scale,"Đánh giá mức độ đầu tư THỜI GIAN thực tế cho: SỨC KHỎE (ngủ, tập, ăn)",""
M2_Q09_Relationships,M2,Time Allocation,scale,"Đánh giá mức độ đầu tư THỜI GIAN thực tế cho: QUAN HỆ (gia đình, bạn bè)",""
